date,company,ticker,open,high,low,close,adj_close,volume,daily_return,peer_avg_return,abnormal_return,event_id,event_day,event0_date,group,member,event_category,event_subtype,event_title_en,start_date,peak_date,end_date,sentiment_expected,severity_score,duration_days,source_level,event_type_final
2024-04-24,HYBE,352820.KS,210500.0,214500.0,209000.0,211000.0,210520.703125,584355,0.0047618582418351,-0.009304069762433533,0.014065928004268632,LESSERAFIM_20240413_COACHELLA_CRITICISM,7,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-25,HYBE,352820.KS,212500.0,217000.0,207000.0,212000.0,211518.4375,625138,0.0047393646334517,-0.024841978054764933,0.029581342688216633,LESSERAFIM_20240413_COACHELLA_CRITICISM,8,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-26,HYBE,352820.KS,206000.0,207500.0,199800.0,201500.0,201042.28125,1122644,-0.0495283360345359,-0.0083149076974769,-0.041213428337059,LESSERAFIM_20240413_COACHELLA_CRITICISM,9,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-29,HYBE,352820.KS,201500.0,206500.0,201000.0,205000.0,204534.328125,502131,0.0173697137402533,0.006496608075142167,0.010873105665111134,LESSERAFIM_20240413_COACHELLA_CRITICISM,10,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2021-08-03,JYP,035900.KQ,40250.0,40300.0,38900.0,39450.0,37909.671875,426738,-0.0137501549768398,0.004860538083785,-0.0186106930606248,TWICE_20210818_JEONGYEON_HIATUS,-10,2021-08-18,TWICE,Jeongyeon,PR_crisis,health_hiatus,Jeongyeon takes hiatus due to panic and anxiety disorder,2021-08-18,2021-08-18,2021-09-01,negative,3.0,15,B_korean_news,negative_PR_crisis
2021-08-04,JYP,035900.KQ,39650.0,41200.0,39450.0,40750.0,39158.9140625,679397,0.032953125830768,0.06737310955305655,-0.03441998372228854,TWICE_20210818_JEONGYEON_HIATUS,-9,2021-08-18,TWICE,Jeongyeon,PR_crisis,health_hiatus,Jeongyeon takes hiatus due to panic and anxiety disorder,2021-08-18,2021-08-18,2021-09-01,negative,3.0,15,B_korean_news,negative_PR_crisis
2021-08-05,JYP,035900.KQ,41000.0,41750.0,40550.0,41300.0,39687.4375,487996,0.0134968869835472,-0.012305980216889034,0.025802867200436234,TWICE_20210818_JEONGYEON_HIATUS,-8,2021-08-18,TWICE,Jeongyeon,PR_crisis,health_hiatus,Jeongyeon takes hiatus due to panic and anxiety disorder,2021-08-18,2021-08-18,2021-09-01,negative,3.0,15,B_korean_news,negative_PR_crisis
2021-08-06,JYP,035900.KQ,41200.0,44250.0,40800.0,43800.0,42089.828125,1494434,0.060532772492555,0.0290367792875831,0.0314959932049719,TWICE_20210818_JEONGYEON_HIATUS,-7,2021-08-18,TWICE,Jeongyeon,PR_crisis,health_hiatus,Jeongyeon takes hiatus due to panic and anxiety disorder,2021-08-18,2021-08-18,2021-09-01,negative,3.0,15,B_korean_news,negative_PR_crisis
2021-08-09,JYP,035900.KQ,44000.0,46200.0,43400.0,44600.0,42858.58984375,1463199,0.0182647863627978,0.0036575783397509005,0.0146072080230469,TWICE_20210818_JEONGYEON_HIATUS,-6,2021-08-18,TWICE,Jeongyeon,PR_crisis,health_hiatus,Jeongyeon takes hiatus due to panic and anxiety disorder,2021-08-18,2021-08-18,2021-09-01,negative,3.0,15,B_korean_news,negative_PR_crisis
2021-08-10,JYP,035900.KQ,44800.0,45750.0,43850.0,43900.0,42185.92578125,521383,-0.0156949648822403,-0.012974169326122734,-0.0027207955561175667,TWICE_20210818_JEONGYEON_HIATUS,-5,2021-08-18,TWICE,Jeongyeon,PR_crisis,health_hiatus,Jeongyeon takes hiatus due to panic and anxiety disorder,2021-08-18,2021-08-18,2021-09-01,negative,3.0,15,B_korean_news,negative_PR_crisis
2021-08-11,JYP,035900.KQ,44150.0,45950.0,43450.0,43600.0,41897.640625,688210,-0.006833680923464,-0.014605224095248765,0.007771543171784766,TWICE_20210818_JEONGYEON_HIATUS,-4,2021-08-18,TWICE,Jeongyeon,PR_crisis,health_hiatus,Jeongyeon takes hiatus due to panic and anxiety disorder,2021-08-18,2021-08-18,2021-09-01,negative,3.0,15,B_korean_news,negative_PR_crisis
