date,company,ticker,open,high,low,close,adj_close,volume,daily_return
2021-08-20,SM,041510.KQ,66600.0,66600.0,61300.0,63000.0,59957.921875,976398,-0.03963419422101
2021-08-23,SM,041510.KQ,63200.0,67600.0,62000.0,67300.0,64050.2890625,692315,0.06825398645456304
2021-08-24,SM,041510.KQ,67900.0,74900.0,66100.0,72100.0,68618.515625,2300499,0.07132249720282058
2021-08-25,SM,041510.KQ,72900.0,75600.0,69100.0,72400.0,68904.0234375,1413573,0.004160798436099844
2021-08-26,SM,041510.KQ,72300.0,75200.0,71800.0,72800.0,69284.71875,724184,0.0055250084611577766
2021-08-27,SM,041510.KQ,71500.0,75500.0,70200.0,72100.0,68618.515625,901134,-0.009615440995060731
2021-08-30,SM,041510.KQ,71300.0,72800.0,66300.0,69500.0,66144.0546875,1234702,-0.03606112599437328
2021-08-31,SM,041510.KQ,69500.0,71100.0,68300.0,69100.0,65763.3671875,511570,-0.005755430352713864
2021-09-01,SM,041510.KQ,69100.0,69400.0,67800.0,68600.0,65287.515625,445476,-0.007235815057086148
2021-09-02,SM,041510.KQ,68600.0,69000.0,66200.0,66900.0,63669.60546875,556847,-0.024781309883852742
2021-09-03,SM,041510.KQ,67200.0,68000.0,65000.0,65600.0,62432.37890625,887404,-0.01943198098042631
2021-09-06,SM,041510.KQ,65000.0,66300.0,63800.0,65000.0,61861.34375,581708,-0.009146458396331214
2021-09-07,SM,041510.KQ,65600.0,68900.0,63400.0,68400.0,65097.16796875,893052,0.05230769366774379
2021-09-08,SM,041510.KQ,67700.0,67800.0,63600.0,63900.0,60814.4609375,667640,-0.06578945236612932
2021-09-09,SM,041510.KQ,63800.0,67000.0,62500.0,62900.0,59862.75390625,894633,-0.015649354061167853
2021-09-10,SM,041510.KQ,62600.0,64500.0,59700.0,63100.0,60053.08984375,899024,0.003179538612575028
2021-09-13,SM,041510.KQ,63100.0,64500.0,62300.0,63300.0,60243.4296875,479785,0.003169526234957143
2021-09-14,SM,041510.KQ,63800.0,66700.0,63600.0,64300.0,61195.15234375,359766,0.015797949439247727
2021-09-15,SM,041510.KQ,64900.0,67800.0,64100.0,66200.0,63003.40625,572427,0.029548973031271242
2021-09-16,SM,041510.KQ,67100.0,67200.0,64200.0,64900.0,61766.17578125,482054,-0.01963751711837014
2021-09-17,SM,041510.KQ,63600.0,66600.0,63200.0,65000.0,61861.34375,491866,0.001540778064146986
2021-09-23,SM,041510.KQ,64000.0,65800.0,63800.0,64900.0,61766.17578125,225852,-0.0015384077192794887
2021-09-24,SM,041510.KQ,64900.0,65000.0,63100.0,63400.0,60338.609375,380107,-0.02311242987271611
2021-09-27,SM,041510.KQ,63500.0,65200.0,62300.0,63600.0,60528.94921875,321684,0.003154528182229832
2021-09-28,SM,041510.KQ,64300.0,68300.0,63600.0,63600.0,60528.94921875,801496,0.0
2021-09-29,SM,041510.KQ,62100.0,65300.0,61400.0,63000.0,59957.921875,670500,-0.009433954349452267
2021-09-30,SM,041510.KQ,63500.0,69700.0,63400.0,69200.0,65858.53125,1454826,0.09841250647915323
2021-10-01,SM,041510.KQ,68100.0,72100.0,67800.0,71000.0,67571.625,1096599,0.026011721146605327
2021-10-05,SM,041510.KQ,69500.0,80000.0,68100.0,79000.0,75185.3359375,2578304,0.11267615567185185
2021-10-06,SM,041510.KQ,79200.0,80400.0,76100.0,78200.0,74423.9609375,1170176,-0.010126642256848006
2021-10-07,SM,041510.KQ,79800.0,82700.0,75100.0,76300.0,72615.703125,1806294,-0.02429671559699098
2021-10-08,SM,041510.KQ,76200.0,78700.0,74400.0,76900.0,73186.7265625,622257,0.00786363572789539
2021-10-12,SM,041510.KQ,77000.0,79500.0,74000.0,74800.0,71188.125,624314,-0.027308251869869293
2021-10-13,SM,041510.KQ,74300.0,75700.0,73800.0,74800.0,71188.125,311503,0.0
2021-10-14,SM,041510.KQ,75600.0,78400.0,74300.0,77600.0,73852.9296875,517106,0.03743327538827579
2021-10-15,SM,041510.KQ,77600.0,78300.0,76000.0,76800.0,73091.5625,385105,-0.010309234728014705
